date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-18,ANDORRE,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230418141046.pdf,Variable,Non,Sans objet,2000,3600,2000,3000,_,0,W,20,Beau temps,Non,Sans objet,1900,3900,2000,3000,_,0,W,20,Pluies éparses,Non,2000,2200,3700,2000,3000,S,10,SW,20,1800,0
2023-04-17,ANDORRE,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230417131122.pdf,Variable,Non,Sans objet,1800,4200,2000,3000,NE,10,NE,40,Beau temps,Non,Sans objet,2200,4100,2000,3000,NE,10,NE,20,Beau temps,Non,Sans objet,2500,4000,2000,3000,_,0,_,0,1800,0
2023-04-16,ANDORRE,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230416135500.pdf,Beau temps,Non,Sans objet,1600,4800,2000,3000,N,20,N,70,Beau temps,Non,Sans objet,1800,4800,2000,3000,NE,10,NE,60,Beau temps,Non,Sans objet,2200,4500,2000,3000,NE,10,N,40,1800,1
2023-04-15,ANDORRE,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230415140232.pdf,Pluies éparses,Non,1700,2200,4000,2000,3000,N,20,NW,80,Pluies éparses,Non,1600,2200,4500,2000,3000,NE,10,NW,100,Pluies éparses,Non,1600,2100,4900,2000,3000,N,10,NW,90,1800,3
2023-04-14,ANDORRE,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230414133215.pdf,Pluies éparses,Non,1400,1600,4100,2000,3000,N,10,NW,70,Très nuageux,Non,Sans objet,2000,4100,2000,3000,_,0,NW,60,Averses de pluie,Non,2200,2600,3900,2000,3000,W,10,NW,40,1800,5
2023-04-13,ANDORRE,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230413140139.pdf,Variable,Non,Sans objet,1800,3200,2000,3000,_,0,NW,40,Peu nuageux,Non,Sans objet,1500,2800,2000,3000,N,10,NW,50,Pluies éparses,Non,1300,1600,2800,2000,3000,NW,10,NW,50,1800,1
2023-04-12,ANDORRE,1,,S,,2,,N,2,Risque limité au Nord- Risque faible au Sud.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230412132500.pdf,Peu nuageux,Non,Sans objet,3300,5200,2000,3000,S,10,W,50,Variable,Non,Sans objet,2800,4900,2000,3000,SW,10,W,60,Pluie faible / grésille,Non,1700,2100,4800,2000,3000,SW,10,W,30,1800,0
2023-04-10,ANDORRE,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230410135210.pdf,Brume,Non,Sans objet,3000,4300,2000,3000,NE,10,NW,40,Brume,Non,Sans objet,2800,4700,2000,3000,_,0,NW,20,Brume,Non,Sans objet,2800,4700,2000,3000,W,10,NW,20,1800,0
2023-04-09,ANDORRE,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230409135435.pdf,Beau temps,Non,Sans objet,2800,4400,2000,3000,_,0,NW,30,Brume,Non,Sans objet,2800,4500,2000,3000,_,0,NW,50,Peu nuageux,Non,Sans objet,3000,4400,2000,3000,N,10,NW,20,1800,0
2023-04-08,ANDORRE,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ANDORRE.20230408132413.pdf,Beau temps,Non,Sans objet,2800,4200,2000,3000,_,0,NW,30,Brume,Non,Sans objet,2800,4200,2000,3000,_,0,NW,40,Beau temps,Non,Sans objet,2800,4100,2000,3000,N,10,NW,30,1800,0
