date, massif, risque1, evolurisque1, loc1, altitude, risque2, evolurisque2, loc2, risque_maxi, commentaire
2023-01-22,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2023-01-21,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2023-01-20,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2023-01-19,ASPE-OSSAU,4,,,,,,,4,Risque fort.
2023-01-18,ASPE-OSSAU,4,,,,,,,4,Risque fort.
2023-01-17,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2023-01-15,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2023-01-14,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2023-01-13,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2023-01-12,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2023-01-11,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2023-01-10,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2023-01-09,ASPE-OSSAU,2,,<2100,2100,3,,>2100,3,Au-dessus de 2100 m : Risque marqué. En-dessous : Risque limité.
2023-01-08,ASPE-OSSAU,2,,<2100,2100,3,,>2100,3,Au-dessus de 2100 m : Risque marqué. En-dessous : Risque limité.
2023-01-07,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2023-01-06,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2023-01-04,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2023-01-03,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2023-01-02,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-12-31,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-12-30,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-12-29,ASPE-OSSAU,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.
2022-12-28,ASPE-OSSAU,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.
2022-12-27,ASPE-OSSAU,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.
2022-12-26,ASPE-OSSAU,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.
2022-12-24,ASPE-OSSAU,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.
2022-12-23,ASPE-OSSAU,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.
2022-12-22,ASPE-OSSAU,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.
2022-12-20,ASPE-OSSAU,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.
2022-12-19,ASPE-OSSAU,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.
2022-12-18,ASPE-OSSAU,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.
2022-12-17,ASPE-OSSAU,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.
2022-12-16,ASPE-OSSAU,2,,<2300,2300,3,,>2300,3,Au-dessus de 2300 m : Risque marqué. En-dessous : Risque limité.
2022-12-15,ASPE-OSSAU,2,,<2300,2300,3,,>2300,3,Au-dessus de 2300 m : Risque marqué. En-dessous : Risque limité.
2022-12-14,ASPE-OSSAU,2,,<2300,2300,3,,>2300,3,Au-dessus de 2300 m : Risque marqué. En-dessous : Risque limité.
2022-12-13,ASPE-OSSAU,2,,<2400,2400,3,,>2400,3,Au-dessus de 2400 m : Risque marqué. En-dessous : Risque limité.
2022-12-12,ASPE-OSSAU,2,,<2400,2400,3,,>2400,3,Au-dessus de 2400 m : Risque marqué. En-dessous : Risque limité.
2022-12-11,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-12-10,ASPE-OSSAU,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.
2022-12-09,ASPE-OSSAU,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.
2022-12-08,ASPE-OSSAU,1,,<2100,2100,2,,>2100,2,Au-dessus de 2100 m : Risque limité. En-dessous : Risque faible.
2022-12-07,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2022-12-06,ASPE-OSSAU,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.
2022-12-04,ASPE-OSSAU,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.
2022-12-03,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-12-01,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-11-30,ASPE-OSSAU,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.
2022-11-29,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2022-11-28,ASPE-OSSAU,3,,,,,,,3,Risque marqué.
2022-11-23,ASPE-OSSAU,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.
2022-11-22,ASPE-OSSAU,3,2,,,,,,3,Risque marqué évoluant en Risque limité.
2022-11-21,ASPE-OSSAU,2,,<2100,2100,3,,>2100,3,Au-dessus de 2100 m : Risque marqué. En-dessous : Risque limité.
2022-11-20,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-11-19,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-11-18,ASPE-OSSAU,1,2,,,,,,2,Risque faible évoluant en Risque limité.
2022-11-17,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-16,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-15,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-14,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-13,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-12,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-11,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-10,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-09,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-08,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-07,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-06,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-05,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-04,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-11-03,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-11-02,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-09,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-08,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-07,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-06,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-05,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-04,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-03,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-02,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-06-01,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-31,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-30,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-29,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-28,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-27,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-25,ASPE-OSSAU,1,,,,,,,1,Risque faible.
2022-05-24,ASPE-OSSAU,2,,,,,,,2,Risque limité.
2022-05-23,ASPE-OSSAU,1,,<2400,2400,1,2,>2400,2,Au-dessus de 2400 m : Risque faible évoluant en Risque limité. En-dessous : Risque faible.
