date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-28,CAPCIR-PUYMORENS,1,,S,,2,,N,2,Risque limité au Nord- Risque faible au Sud.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230428134954.pdf,Peu nuageux,Non,Sans objet,3600,5300,2000,3000,SW,10,NW,30,Peu nuageux,Non,Sans objet,3800,5300,2000,3000,SW,20,NW,50,Beau temps,Non,Sans objet,3800,5000,2000,3000,SW,20,W,40,1800,0
2023-04-27,CAPCIR-PUYMORENS,1,,S,,2,,N,2,Risque limité au Nord- Risque faible au Sud.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230427135956.pdf,Peu nuageux,Non,Sans objet,3400,5100,2000,3000,NW,20,W,30,Peu nuageux,Non,Sans objet,3400,5100,2000,3000,S,10,W,20,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,W,10,W,20,1800,Pluie
2023-04-26,CAPCIR-PUYMORENS,1,,S,,2,,N,2,Risque limité au Nord- Risque faible au Sud.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230426140838.pdf,Variable,Non,Sans objet,3400,5200,2000,3000,NW,20,NW,80,Peu nuageux,Non,Sans objet,3200,5100,2000,3000,W,10,NW,60,Variable,Non,Sans objet,3400,5000,2000,3000,NW,20,W,40,1800,Pluie
2023-04-25,CAPCIR-PUYMORENS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230425140321.pdf,Très nuageux,Non,Sans objet,2900,4800,2000,3000,NW,20,W,90,Très nuageux,Non,Sans objet,3400,4700,2000,3000,NW,20,NW,70,Pluie faible / grésille,Non,2800,3000,4700,2000,3000,NW,20,W,60,1800,Pluie
2023-04-24,CAPCIR-PUYMORENS,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230424134920.pdf,Pluies éparses,Non,2100,2400,4400,2000,3000,NW,30,NW,80,Brume,Non,Sans objet,3000,4600,2000,3000,W,10,NW,60,Variable,Non,Sans objet,3000,4500,2000,3000,NW,20,W,40,1800,0
2023-04-23,CAPCIR-PUYMORENS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230423125641.pdf,Pluie faible / grésille,Non,2400,2800,4400,2000,3000,_,0,W,10,Peu nuageux,Non,Sans objet,2800,4500,2000,3000,SW,10,W,20,Orages violents,Non,2500,2900,4200,2000,3000,SW,10,SW,20,1800,0
2023-04-22,CAPCIR-PUYMORENS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230422141137.pdf,Variable,Non,Sans objet,3000,4900,2000,3000,SW,40,SW,80,Pluies éparses,Non,2700,3000,4700,2000,3000,SW,20,SW,90,Pluies éparses,Non,2500,2800,4200,2000,3000,SW,30,SW,60,1800,Pluie
2023-04-21,CAPCIR-PUYMORENS,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230421135714.pdf,Peu nuageux,Non,Sans objet,3000,4400,2000,3000,SE,10,W,40,Peu nuageux,Non,Sans objet,3000,4400,2000,3000,SW,10,W,50,Eclaircies,Non,Sans objet,3200,4300,2000,3000,SW,30,W,50,1800,0
2023-04-20,CAPCIR-PUYMORENS,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230420135013.pdf,Beau temps,Non,Sans objet,2800,4400,2000,3000,_,0,NW,40,Beau temps,Non,Sans objet,2600,4400,2000,3000,NW,10,NW,50,Peu nuageux,Non,Sans objet,2800,4100,2000,3000,NW,20,W,30,1800,0
2023-04-18,CAPCIR-PUYMORENS,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CAPCIR-PUYMORENS.20230418141046.pdf,Averses de neige,Non,1500,1800,3600,2000,3000,NW,10,NW,20,Beau temps,Non,Sans objet,1800,3700,2000,3000,NE,10,W,30,Pluies éparses,Non,2000,2400,3600,2000,3000,SE,10,SW,20,1800,0
