date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-08,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230408132413.pdf,Beau temps,Non,Sans objet,2800,4200,2000,3000,_,0,NW,40,Brume,Non,Sans objet,2700,4200,2000,3000,NW,10,NW,50,Beau temps,Non,Sans objet,2700,4100,2000,3000,N,10,NW,40,1800,0
2023-04-07,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230407133533.pdf,Beau temps,Non,Sans objet,2700,4100,2000,3000,_,0,NW,30,Beau temps,Non,Sans objet,2400,4100,2000,3000,_,0,NW,30,Beau temps,Non,Sans objet,2600,4100,2000,3000,NE,10,W,30,1800,0
2023-04-06,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230406134230.pdf,Beau temps,Non,Sans objet,2200,4000,2000,3000,_,0,NW,30,Beau temps,Non,Sans objet,2200,4100,2000,3000,_,0,NW,30,Beau temps,Non,Sans objet,2300,4100,2000,3000,NE,10,W,30,1800,0
2023-04-05,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230405134653.pdf,Beau temps,Non,Sans objet,1800,3200,2000,3000,NW,20,N,50,Beau temps,Non,Sans objet,2000,3400,2000,3000,NW,20,N,40,Beau temps,Non,Sans objet,2200,3600,2000,3000,N,10,N,40,1800,0
2023-04-04,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230404133738.pdf,Beau temps,Non,Sans objet,1600,3300,2000,3000,W,10,N,20,Beau temps,Non,Sans objet,1800,3300,2000,3000,NW,10,N,50,Beau temps,Non,Sans objet,2100,3100,2000,3000,N,10,N,20,1800,0
2023-04-03,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230403133032.pdf,Averses de neige,Non,1300,1600,3500,2000,3000,NW,20,N,70,Beau temps,Non,Sans objet,1400,3500,2000,3000,NW,20,N,40,Beau temps,Non,Sans objet,2000,3400,2000,3000,NW,10,N,20,1800,0
2023-04-02,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230402133946.pdf,Averses de neige,Non,1000,1300,3000,2000,3000,NW,20,NW,80,Peu nuageux,Non,Sans objet,1400,3100,2000,3000,NW,10,NW,70,Variable,Non,Sans objet,1800,3500,2000,3000,NW,30,NW,70,1800,0
2023-04-01,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230401134110.pdf,Peu nuageux,Non,Sans objet,2100,4600,2000,3000,W,20,W,80,Peu nuageux,Non,Sans objet,2200,4200,2000,3000,W,10,NW,60,Peu nuageux,Non,Sans objet,2300,3600,2000,3000,NW,10,W,30,1800,0
2023-03-31,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230331134703.pdf,Brume,Non,Sans objet,3400,5000,2000,3000,W,20,NW,70,Brume,Non,Sans objet,3200,4700,2000,3000,_,0,W,50,Pluies éparses,Non,2600,2900,4700,2000,3000,NE,10,SW,20,1800,0
2023-03-30,CERDAGNE-CANIGOU,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CERDAGNE-CANIGOU.20230330134125.pdf,Brume,Non,Sans objet,3500,4900,2000,3000,W,30,W,50,Peu nuageux,Non,Sans objet,3300,4700,2000,3000,W,10,W,40,Peu nuageux,Non,Sans objet,3200,4600,2000,3000,NW,10,W,30,1800,0
