date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-03,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230403134038.pdf,Eclaircies,Non,Sans objet,1900,3400,1500,3000,NE,10,NE,50,Très nuageux,Non,Sans objet,1700,3500,1500,3000,E,20,NE,60,Variable,Non,Sans objet,1800,3600,1500,3000,NE,20,NE,40,1800,2
2023-04-02,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230402135227.pdf,Pluies éparses,Non,1700,2000,3500,1500,3000,W,20,W,40,Averses de neige,Non,1400,1700,3100,1500,3000,_,0,E,20,Neige faible,Non,1200,1500,3200,1500,3000,NE,10,NE,50,1800,1
2023-04-01,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230401134916.pdf,Variable,Non,Sans objet,2000,3900,1500,3000,W,40,W,120,Variable,Non,Sans objet,2400,4100,1500,3000,NW,30,W,90,Peu nuageux,Non,Sans objet,2600,4200,1500,3000,NW,30,W,70,1800,0
2023-03-31,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230331134845.pdf,Peu nuageux,Non,Sans objet,3300,4500,1500,3000,SW,20,W,20,Peu nuageux,Non,Sans objet,3100,4700,1500,3000,W,10,W,70,Peu nuageux,Non,Sans objet,3200,4600,1500,3000,SW,30,W,60,1800,0
2023-03-30,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230330134043.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29,CINTO-ROTONDO,2,,<2200,2200,1,,>2200,2,Au-dessus de 2200 m : Risque faible. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230329144211.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,CINTO-ROTONDO,2,,<2000,2000,1,,>2000,2,Au-dessus de 2000 m : Risque faible. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230328133710.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-26,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230326140122.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-25,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230325151107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230324145206.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
