date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-05-01,DEVOLUY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230501141958.pdf,Variable,Non,Sans objet,2700,4200,3000,Sans objet,_,10,Sans objet,Sans objet,Variable,Non,Sans objet,2400,3900,3000,Sans objet,NW,10,Sans objet,Sans objet,Pluies éparses,Non,2200,2400,4000,3000,Sans objet,N,50,Sans objet,Sans objet,1800,Pluie
2023-04-30,DEVOLUY,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230430142321.pdf,Pluies éparses,Non,3000,3200,4900,3000,Sans objet,N,10,Sans objet,Sans objet,Averses de pluie,Non,2700,3000,4600,3000,Sans objet,SE,10,Sans objet,Sans objet,Pluie faible / grésille,Non,2500,2700,4600,3000,Sans objet,NW,20,Sans objet,Sans objet,1800,Pluie
2023-04-29,DEVOLUY,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230429140717.pdf,Pluies éparses,Non,3000,3400,5000,3000,Sans objet,W,40,Sans objet,Sans objet,Pluies éparses,Non,3000,3300,5000,3000,Sans objet,W,60,Sans objet,Sans objet,Pluies éparses,Non,2900,3200,5100,3000,Sans objet,NW,20,Sans objet,Sans objet,1800,0
2023-04-28,DEVOLUY,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230428141756.pdf,Peu nuageux,Non,Sans objet,3100,5100,3000,Sans objet,NW,30,Sans objet,Sans objet,Brume,Non,Sans objet,3300,5000,3000,Sans objet,NW,30,Sans objet,Sans objet,Eclaircies,Non,Sans objet,3400,5000,3000,Sans objet,W,30,Sans objet,Sans objet,1800,0
2023-04-27,DEVOLUY,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230427140229.pdf,Beau temps,Non,Sans objet,3000,4800,3000,Sans objet,NW,40,Sans objet,Sans objet,Brume,Non,Sans objet,3000,5000,3000,Sans objet,NW,30,Sans objet,Sans objet,Variable,Non,Sans objet,3200,4800,3000,Sans objet,NW,20,Sans objet,Sans objet,1800,0
2023-04-26,DEVOLUY,1,,<2400,2400,1,2,>2400,2,Au-dessus de 2400 m : Risque faible évoluant en Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230426141013.pdf,Peu nuageux,Non,Sans objet,2500,4500,3000,Sans objet,NW,40,Sans objet,Sans objet,Beau temps,Non,Sans objet,2700,4400,3000,Sans objet,N,30,Sans objet,Sans objet,Brume,Non,Sans objet,2800,4700,3000,Sans objet,NW,40,Sans objet,Sans objet,1800,0
2023-04-25,DEVOLUY,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230425140243.pdf,Eclaircies,Non,Sans objet,2000,4100,3000,Sans objet,NW,60,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2000,3900,3000,Sans objet,NW,70,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,2400,4200,3000,Sans objet,NW,70,Sans objet,Sans objet,1800,0
2023-04-24,DEVOLUY,1,,<2500,2500,2,,>2500,2,Au-dessus de 2500 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230424135212.pdf,Neige faible,Non,1900,2000,3500,3000,Sans objet,NW,40,Sans objet,Sans objet,Variable,Non,Sans objet,2000,3800,3000,Sans objet,NW,50,Sans objet,Sans objet,Brume,Non,Sans objet,2300,3600,3000,Sans objet,NW,50,Sans objet,Sans objet,1800,Pluie
2023-04-23,DEVOLUY,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230423141458.pdf,Variable,Non,Sans objet,2600,4000,3000,Sans objet,SW,50,Sans objet,Sans objet,Variable,Non,Sans objet,2500,4000,3000,Sans objet,SW,50,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2500,4100,3000,Sans objet,SW,50,Sans objet,Sans objet,1800,Pluie
2023-04-22,DEVOLUY,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.DEVOLUY.20230422134520.pdf,Peu nuageux,Non,Sans objet,2500,4300,3000,Sans objet,SW,40,Sans objet,Sans objet,Très nuageux,Non,Sans objet,2500,4400,3000,Sans objet,SW,40,Sans objet,Sans objet,Variable,Non,Sans objet,2400,4300,3000,Sans objet,SW,40,Sans objet,Sans objet,1800,0
