date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-05-15,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230515130956.pdf,Pluies éparses,Non,2000,2200,4000,2000,3000,W,10,N,30,Pluies éparses,Non,2000,2200,4500,2000,3000,NW,10,N,30,Pluies éparses,Non,1800,2000,4400,2000,3000,N,10,N,30,1800,5
2023-05-14,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230514134041.pdf,Pluies éparses,Non,1800,2000,3900,2000,3000,W,10,N,20,Pluie faible / grésille,Non,1900,2100,3900,2000,3000,W,10,N,40,Averses de pluie,Non,2000,2200,3800,2000,3000,NW,10,N,30,1800,10
2023-05-13,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230513134903.pdf,Neige modérée,Non,1500,1800,3600,2000,3000,_,0,N,20,Averses de pluie,Non,1700,1900,3500,2000,3000,NW,10,NE,30,Pluies éparses,Non,1900,2100,3700,2000,3000,NE,10,N,20,1800,7
2023-05-08,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230508135818.pdf,Variable,Non,Sans objet,3100,4900,2000,3000,_,0,NW,20,Beau temps,Non,Sans objet,3200,5300,2000,3000,W,10,N,40,Beau temps,Non,Sans objet,3600,5300,2000,3000,NW,10,N,30,1800,0
2023-05-07,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230507134900.pdf,Pluies éparses,Non,2800,3200,4500,2000,3000,_,0,W,20,Variable,Non,Sans objet,2800,4400,2000,3000,NE,10,W,20,Pluies éparses,Non,2600,2800,4400,2000,3000,N,10,W,20,1800,Pluie
2023-05-06,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230506134509.pdf,Beau temps,Non,Sans objet,3500,4900,2000,3000,SW,10,W,30,Peu nuageux,Non,Sans objet,3400,4700,2000,3000,S,10,W,30,Pluies éparses,Non,2700,3400,4800,2000,3000,SW,10,SW,20,1800,0
2023-05-05,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230505131751.pdf,Peu nuageux,Non,Sans objet,3200,4900,2000,3000,_,20,SW,40,Brume,Non,Sans objet,3200,4800,2000,3000,_,10,SW,20,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,_,10,SW,20,1800,0
2023-05-04,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230504133315.pdf,Peu nuageux,Non,Sans objet,3800,5100,2000,3000,SW,15,SW,90,Peu nuageux,Non,Sans objet,3400,5200,2000,3000,S,25,S,60,Eclaircies,Non,Sans objet,3300,5200,2000,3000,S,30,SW,30,1800,0
2023-05-03,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230503134129.pdf,Beau temps,Non,Sans objet,3800,5100,2000,3000,S,10,_,20,Peu nuageux,Non,Sans objet,3700,5300,2000,3000,_,0,_,15,Brume,Non,Sans objet,3800,5200,2000,3000,NE,10,SW,20,1800,0
2023-05-02,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230502133440.pdf,Beau temps,Non,Sans objet,3200,4700,2000,3000,W,10,N,50,Peu nuageux,Non,Sans objet,3300,4800,2000,3000,W,10,N,40,Beau temps,Non,Sans objet,3500,4900,2000,3000,_,0,NE,20,1800,0
2023-05-01,LUCHONNAIS,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230501132628.pdf,Pluies éparses,Non,2200,2500,4500,2000,3000,_,0,NW,10,Variable,Non,Sans objet,2200,4000,2000,3000,_,0,N,30,Peu nuageux,Non,Sans objet,2300,4100,2000,3000,NW,20,NW,40,1800,0
2023-04-30,LUCHONNAIS,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230430132611.pdf,Averses de pluie,Non,2600,2900,4700,2000,3000,NW,10,NW,30,Pluie faible / grésille,Non,2400,2600,4500,2000,3000,NW,10,NW,30,Pluie faible / grésille,Non,2200,2400,4600,2000,3000,NW,10,NW,10,1800,Pluie
2023-04-29,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230429131207.pdf,Très nuageux,Non,Sans objet,3800,5200,2000,3000,_,0,SW,30,Peu nuageux,Non,Sans objet,3600,5100,2000,3000,_,0,SW,10,Risque d'orages,Non,3200,3600,5100,2000,3000,N,10,W,20,1800,0
2023-04-28,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230428134949.pdf,Beau temps,Non,Sans objet,3700,5300,2000,3000,SW,10,W,55,Peu nuageux,Non,Sans objet,3800,5100,2000,3000,SW,20,W,45,Très nuageux,Non,Sans objet,3800,5300,2000,3000,S,20,SW,55,1800,0
2023-04-27,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230427131757.pdf,Eclaircies,Non,Sans objet,3300,5100,2000,3000,_,0,W,30,Peu nuageux,Non,Sans objet,3500,5200,2000,3000,SW,10,W,40,Brume,Non,Sans objet,3400,4900,2000,3000,W,10,W,30,1800,Pluie
2023-04-26,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230426140302.pdf,Pluie faible / grésille,Non,3000,3200,5200,2000,3000,_,0,W,40,Pluie faible / grésille,Non,2900,3200,5100,2000,3000,_,0,NW,60,Pluies éparses,Non,3000,3200,5100,2000,3000,N,10,W,40,1800,Pluie
2023-04-25,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230425130656.pdf,Pluie faible / grésille,Non,2600,3000,4800,2000,3000,NW,10,W,60,Pluies éparses,Non,2400,2700,4500,2000,3000,_,0,NW,50,Pluies éparses,Non,2600,3000,4900,2000,3000,NW,10,W,40,1800,Pluie
2023-04-24,LUCHONNAIS,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230424124232.pdf,Eclaircies,Non,Sans objet,2400,4100,2000,3000,W,60,NW,100,Peu nuageux,Non,Sans objet,2300,4500,2000,3000,W,30,NW,50,Variable,Non,Sans objet,2800,4600,2000,3000,NW,10,W,30,1800,Pluie
2023-04-23,LUCHONNAIS,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230423135024.pdf,Peu nuageux,Non,Sans objet,2600,4400,2000,3000,SW,10,W,20,Brume,Non,Sans objet,2600,4500,2000,3000,W,10,W,30,Pluies éparses,Non,2400,2600,4100,2000,3000,W,20,W,40,1800,Pluie
2023-04-22,LUCHONNAIS,1,2,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.LUCHONNAIS.20230422135846.pdf,Pluies éparses,Non,2800,3100,4700,2000,3000,SW,20,SW,75,Pluies éparses,Non,2500,2800,4400,2000,3000,SW,10,SW,65,Averses de pluie,Non,2400,2600,4500,2000,3000,_,0,SW,50,1800,Pluie
