date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-01,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230401140122.pdf,Peu nuageux,Non,Sans objet,1800,3700,3000,9999,NW,70,,-1,Peu nuageux,Non,Sans objet,1800,3600,3000,9999,NW,50,,-1,Peu nuageux,Non,Sans objet,2200,3500,3000,9999,NW,40,,-1,1800,2
2023-03-31,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230331140752.pdf,Brume,Non,Sans objet,2900,4600,3000,9999,W,50,,-1,Eclaircies,Non,Sans objet,2600,4400,3000,9999,W,50,,-1,Peu nuageux,Non,Sans objet,2500,4000,3000,9999,W,70,,-1,1800,0
2023-03-30,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230330142153.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230329141124.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230327140221.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-26,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230326141542.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230324145832.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230323151650.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22,MERCANTOUR,1,,<2300,2300,1,2,>2300,2,Au-dessus de 2300 m : Risque faible évoluant en Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230322145245.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21,MERCANTOUR,1,,<2300,2300,1,2,>2300,2,Au-dessus de 2300 m : Risque faible évoluant en Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230321142908.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230320144154.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230319142729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230318145451.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17,MERCANTOUR,1,,<2700,2700,2,,>2700,2,Au-dessus de 2700 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230317144822.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16,MERCANTOUR,1,,<2700,2700,2,,>2700,2,Au-dessus de 2700 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230316151557.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15,MERCANTOUR,1,,<2700,2700,2,,>2700,2,Au-dessus de 2700 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230315144519.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
