date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-10,ORLU__ST_BARTHELEMY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230410135210.pdf,Brume,Non,Sans objet,2800,4300,2000,3000,W,30,NW,40,Brume,Non,Sans objet,2800,4600,2000,3000,W,20,NW,30,Très nuageux,Non,Sans objet,2800,4800,2000,3000,W,20,NW,40,1800,0
2023-04-09,ORLU__ST_BARTHELEMY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230409135435.pdf,Beau temps,Non,Sans objet,2800,4300,2000,3000,W,20,NW,30,Beau temps,Non,Sans objet,2800,4400,2000,3000,NW,30,NW,30,Brume,Non,Sans objet,3000,4400,2000,3000,W,30,NW,30,1800,0
2023-04-08,ORLU__ST_BARTHELEMY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230408132413.pdf,Peu nuageux,Non,Sans objet,2800,4100,2000,3000,W,30,NW,40,Beau temps,Non,Sans objet,2600,4100,2000,3000,W,30,NW,40,Beau temps,Non,Sans objet,2600,4100,2000,3000,W,30,NW,40,1800,0
2023-04-07,ORLU__ST_BARTHELEMY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230407133533.pdf,Peu nuageux,Non,Sans objet,2600,4100,2000,3000,W,20,NW,30,Beau temps,Non,Sans objet,2600,4100,2000,3000,W,20,NW,30,Beau temps,Non,Sans objet,2600,4100,2000,3000,W,30,NW,30,1800,0
2023-04-06,ORLU__ST_BARTHELEMY,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230406134230.pdf,Brume,Non,Sans objet,2200,4000,2000,3000,W,20,NW,30,Peu nuageux,Non,Sans objet,2200,4100,2000,3000,W,20,NW,30,Peu nuageux,Non,Sans objet,2200,4100,2000,3000,W,20,NW,30,1800,0
2023-04-05,ORLU__ST_BARTHELEMY,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230405134653.pdf,Beau temps,Non,Sans objet,1500,3300,2000,3000,NW,30,N,50,Beau temps,Non,Sans objet,1900,3500,2000,3000,NW,40,N,50,Beau temps,Non,Sans objet,2000,3800,2000,3000,NW,30,N,40,1800,0
2023-04-04,ORLU__ST_BARTHELEMY,2,,<2400,2400,3,,>2400,3,Au-dessus de 2400 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230404133738.pdf,Variable,Non,Sans objet,1600,3400,2000,3000,W,30,N,40,Variable,Non,Sans objet,1700,3300,2000,3000,NW,20,N,40,Peu nuageux,Non,Sans objet,1700,3300,2000,3000,W,30,N,30,1800,0
2023-04-03,ORLU__ST_BARTHELEMY,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230403133032.pdf,Neige modérée,Non,1200,1500,3100,2000,3000,NW,50,NW,50,Neige faible,Non,1200,1400,3400,2000,3000,NW,40,N,40,Averses de neige,Non,1200,1400,3300,2000,3000,W,30,N,30,1800,25
2023-04-02,ORLU__ST_BARTHELEMY,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230402133946.pdf,Averses de neige,Non,1000,1300,2700,2000,3000,NW,70,NW,70,Neige faible,Non,1000,1400,2900,2000,3000,NW,60,NW,70,Averses de neige,Non,1200,1400,3100,2000,3000,NW,60,NW,60,1800,10
2023-04-01,ORLU__ST_BARTHELEMY,2,3,,,,,,3,Risque limité évoluant en Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.ORLU__ST_BARTHELEMY.20230401134110.pdf,Variable,Non,Sans objet,1800,4200,2000,3000,W,80,W,100,Variable,Non,Sans objet,1600,3900,2000,3000,W,70,NW,80,Averses de neige,Non,1500,1800,3500,2000,3000,W,60,W,80,1800,0
