date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-26,PELVOUX,1,2,<2900,2900,2,,>2900,2,Au-dessus de 2900 m : Risque limité. En-dessous : Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230426141013.pdf,Peu nuageux,Non,Sans objet,2400,4400,3000,Sans objet,NW,30,Sans objet,Sans objet,Beau temps,Non,Sans objet,2500,4300,3000,Sans objet,NW,30,Sans objet,Sans objet,Beau temps,Non,Sans objet,2700,4500,3000,Sans objet,NW,40,Sans objet,Sans objet,1800,0
2023-04-25,PELVOUX,1,,<2600,2600,2,,>2600,2,Au-dessus de 2600 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230425140243.pdf,Eclaircies,Non,Sans objet,2000,4000,3000,Sans objet,NW,50,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2000,3400,3000,Sans objet,NW,50,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,2400,4100,3000,Sans objet,NW,40,Sans objet,Sans objet,1800,0
2023-04-24,PELVOUX,2,,<2800,2800,3,,>2800,3,Au-dessus de 2800 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230424135212.pdf,Neige faible,Non,1900,2100,3600,3000,Sans objet,W,30,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2100,3600,3000,Sans objet,NW,50,Sans objet,Sans objet,Variable,Non,Sans objet,2400,3500,3000,Sans objet,NW,40,Sans objet,Sans objet,1800,Pluie
2023-04-23,PELVOUX,2,,<2700,2700,3,,>2700,3,Au-dessus de 2700 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230423141458.pdf,Pluies éparses,Non,2300,2500,4100,3000,Sans objet,SW,50,Sans objet,Sans objet,Variable,Non,Sans objet,2500,4100,3000,Sans objet,SW,60,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2600,4200,3000,Sans objet,SW,60,Sans objet,Sans objet,1800,Pluie
2023-04-22,PELVOUX,1,,<2700,2700,2,,>2700,2,Au-dessus de 2700 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230422134520.pdf,Variable,Non,Sans objet,2500,4300,3000,Sans objet,SW,30,Sans objet,Sans objet,Pluie faible / grésille,Non,2100,2500,4300,3000,Sans objet,SW,40,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2500,4400,3000,Sans objet,SW,40,Sans objet,Sans objet,1800,0
2023-04-21,PELVOUX,2,,<2700,2700,3,,>2700,3,Au-dessus de 2700 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230421140352.pdf,Neige modérée,Non,1700,2000,3700,3000,Sans objet,SW,20,Sans objet,Sans objet,Averses de neige,Non,1700,1900,3700,3000,Sans objet,SW,20,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2400,3900,3000,Sans objet,SW,30,Sans objet,Sans objet,1800,10
2023-04-20,PELVOUX,2,,<2500,2500,3,,>2500,3,Au-dessus de 2500 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230420140454.pdf,Peu nuageux,Non,Sans objet,2200,3800,3000,Sans objet,W,10,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,2000,3600,3000,Sans objet,W,10,Sans objet,Sans objet,Pluies éparses,Non,2000,2400,3600,3000,Sans objet,SW,30,Sans objet,Sans objet,1800,0
2023-04-18,PELVOUX,1,2,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230418132226.pdf,Peu nuageux,Non,Sans objet,2100,3600,3000,Sans objet,SE,20,Sans objet,Sans objet,Eclaircies,Non,Sans objet,2100,3400,3000,Sans objet,SE,10,Sans objet,Sans objet,Averses de neige,Non,1800,2400,3500,3000,Sans objet,SE,10,Sans objet,Sans objet,1800,Pluie
2023-04-17,PELVOUX,1,,<2400,2400,2,,>2400,2,Au-dessus de 2400 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230417140155.pdf,Peu nuageux,Non,Sans objet,2300,3800,3000,Sans objet,NE,20,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,2200,3700,3000,Sans objet,N,20,Sans objet,Sans objet,Averses de neige,Non,1900,2400,3600,3000,Sans objet,_,10,Sans objet,Sans objet,1800,0
2023-04-16,PELVOUX,2,,<2500,2500,3,,>2500,3,Au-dessus de 2500 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.PELVOUX.20230416141513.pdf,Eclaircies,Non,Sans objet,1800,3800,3000,Sans objet,N,80,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,1800,3900,3000,Sans objet,N,60,Sans objet,Sans objet,Peu nuageux,Non,Sans objet,2200,3800,3000,Sans objet,NE,20,Sans objet,Sans objet,1800,3
