date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-04-05,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230405135400.pdf,Beau temps,Non,Sans objet,1300,2700,1500,2000,N,10,N,20,Beau temps,Non,Sans objet,1200,2700,1500,2000,N,20,N,30,Variable,Non,Sans objet,1600,2700,1500,2000,W,20,NW,10,1800, - 
2023-04-04,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230404125211.pdf,Peu nuageux,Non,Sans objet,1900,3200,1500,2000,NE,30,N,30,Variable,Non,Sans objet,1400,3100,1500,2000,NE,10,N,10,Variable,Non,Sans objet,1600,3000,1500,2000,W,10,W,10,1800,0
2023-04-03,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230403134038.pdf,Eclaircies,Non,Sans objet,2200,3500,1500,2000,NE,20,NE,50,Très nuageux,Non,Sans objet,2000,3600,1500,2000,NE,40,NE,70,Variable,Non,Sans objet,1900,3500,1500,2000,N,20,NE,40,1800,4
2023-04-02,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230402135227.pdf,Averses de neige,Non,1300,1600,3500,1500,2000,W,20,W,40,Averses de neige,Non,1200,1500,3100,1500,2000,_,0,NE,10,Neige modérée,Non,1200,1500,3400,1500,2000,NE,20,NE,50,1800,1
2023-04-01,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230401134916.pdf,Variable,Non,Sans objet,2000,4000,1500,2000,W,40,W,60,Variable,Non,Sans objet,2400,4400,1500,2000,NW,30,NW,60,Peu nuageux,Non,Sans objet,2600,4200,1500,2000,NW,30,NW,50,1800,0
2023-03-31,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230331134845.pdf,Peu nuageux,Non,Sans objet,3300,4600,1500,2000,SW,20,SW,20,Peu nuageux,Non,Sans objet,3150,4800,1500,2000,NW,20,NW,50,Peu nuageux,Non,Sans objet,3300,4700,1500,2000,NW,10,W,30,1800,0
2023-03-30,RENOSO-INCUDINE,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230330134043.pdf,Brume,Non,Sans objet,3400,4800,1500,2000,NW,10,W,30,Peu nuageux,Non,Sans objet,3200,4800,1500,2000,W,10,W,30,Peu nuageux,Non,Sans objet,3200,4700,1500,2000,SW,10,SW,40,1800,0
2023-03-29,RENOSO-INCUDINE,2,,<2200,2200,1,,>2200,2,Au-dessus de 2200 m : Risque faible. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230329144211.pdf,Beau temps,Non,Sans objet,2800,4500,1500,2000,W,10,W,30,Beau temps,Non,Sans objet,3100,4700,1500,2000,NW,10,NW,40,Peu nuageux,Non,Sans objet,3200,4600,1500,2000,NW,20,NW,50,1800,0
2023-03-28,RENOSO-INCUDINE,2,,<2000,2000,1,,>2000,2,Au-dessus de 2000 m : Risque faible. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230328133710.pdf,Beau temps,Non,Sans objet,2000,3400,1500,2000,N,10,NW,50,Beau temps,Non,Sans objet,2000,3600,1500,2000,N,15,NW,40,Peu nuageux,Non,Sans objet,1900,4200,1500,2000,N,15,NW,30,1800,5
2023-03-26,RENOSO-INCUDINE,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.RENOSO-INCUDINE.20230326140122.pdf,Beau temps,Non,Sans objet,3350,4800,1500,2000,NW,40,NW,60,Peu nuageux,Non,Sans objet,3100,4700,1500,2000,NW,20,W,50,Très nuageux,Non,Sans objet,3050,4500,1500,2000,W,30,W,40,1800,0
